scaffold,cid
O=C(NCc1cc2ccccc2[nH]1)c1cc(=O)n2ccccc2n1,[156461678]
C(#Cc1cnc2cc(CCC3CCC(n4ccc5cncnc54)C3)ccc2c1)c1ccccc1,[166628590]
C1=C(c2cn(C3CCC(COc4ccc5cccnc5c4)O3)c3ncncc23)CNC1,[166629977]
c1cnc2cc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)ccc2c1,"[156327795, 164570055, 156327087, 156326985, 156326955, 156327130, 156327095, 156327136, 156327792, 156326993, 156326992]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(CCC4CCNCC4)O3)c2n1,[166636528]
c1cnc2cc(CCc3cncc(-n4ccc5cncnc54)c3)ccc2c1,"[166039026, 156304027, 156303953, 166039032, 156304098]"
O=C(NCc1ccc2cc(CNCc3cn4ccccc4n3)[nH]c2c1)c1cc(=O)n2ccccc2n1,[156461944]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc(CN5CCCCC5)cc4)c3)c2n1,[156304053]
c1cnc2cc(COc3cncc(-n4ccc5cncnc54)c3)ccc2c1,[156296245]
c1cnc2cc(OCc3cncc(-n4cc(C5CCNCC5)c5cncnc54)c3)ccc2c1,[156303966]
C(=CC1CCC(n2ccc3cncnc32)O1)C1CCC1,[163239225]
c1cnc2cc(OCC3CCC(n4cc(C5CCNC5)c5cncnc54)O3)ccc2c1,[156327027]
c1cc(-c2cn(Cc3ccc4cc(CN5CC6(CCC6)C5)[nH]c4c3)nn2)c2cn[nH]c2c1,[166060828]
O=C(NCc1cn2cc(CNCC3CCCCC3)ccc2n1)c1cc(=O)[nH]cn1,[163239057]
c1cnn(-c2cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c3ncncc23)c1,"[156327033, 156730085, 156326975, 156327158, 156730065, 156326946, 156327035]"
O=C(NCC1CCCN(c2ccncn2)C1)c1ccc(CN2CCCCC2)cc1,[166628594]
c1ncc2ccn(C3CCC(CCc4ccc5ccc(N6CCCC6)nc5c4)C3)c2n1,[166627277]
c1cc(NCC2CC2)c2ccc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cc2n1,[156304016]
c1cnc2cc(OCc3cncc(-n4cc(-c5cc[nH]n5)c5cncnc54)c3)cnc2c1,[156304012]
c1ncc2c(-c3cocn3)cn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,[156304170]
c1ncc2ccn(C3CCC(COc4ccc5cnc(NC6CCC6)nc5c4)O3)c2n1,[166632702]
c1cc(-c2cn(Cc3cc4[nH]c(CN5CCC6(CCC6)C5)cc4cn3)nn2)c2cncn2c1,[156461822]
c1cc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)n2cncc2c1,[163239173]
O=S(=O)(Cc1cncc(-n2cc(-c3cc[nH]n3)c3cncnc32)c1)c1ccc2ccc(N3CCC3)nc2c1,[156296268]
c1cc2cc(CCC3CCC(n4ccc5cncnc54)C3)ccc2cn1,[156327806]
c1ncc2ccc(CCC3CCC(n4ccc5cncnc54)C3)cc2n1,[166626323]
C(=CC1CCC(n2ccc3cncnc32)O1)C1CNC1,[163239257]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5scnc5c4)O3)c2n1,[166625996]
c1ncc2ccn(-c3cncc(COc4ccc5ccc(N6CCC6)nc5c4)c3)c2n1,"[156304085, 156304175, 156304171, 156304029, 166039040, 166636088]"
O=C1CN(c2ccc(CN3CCCCC3)nc2)CC2(CCN(c3cc(NCc4ccccc4)ncn3)CC2)N1,[156587341]
c1cncc(-c2cn(C3CCC(COc4ccc5cccnc5c4)O3)c3ncncc23)c1,[156327011]
c1ccc2c(-c3cn(Cc4cn5cc(CN(CC6CCC6)CC6CCC6)ccc5n4)nn3)cncc2c1,[163239170]
c1cc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)c2nncn2c1,[163239105]
c1cc(COc2ccc3cccnc3c2)cc(-n2cc(C3CC3)c3cncnc32)c1,[156304133]
c1cnc2cc(CCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)sc2c1,[156326961]
c1ncc2ccn(C3CCC(c4ccc5[nH]c(CNCC67CC(C6)C7)cc5c4)C3)c2n1,[163239244]
O=C(NC1CCN(c2cc(NCc3ccccc3)ncn2)CC1)c1ccc(CN2CCCCC2)nc1,[166132574]
c1cc(NCc2ccc3cccnc3c2)cc(-n2ccc3cncnc32)c1,"[156303957, 166039024]"
c1cc2cc(CNCC3CCC3)[nH]c2cc1Cc1cn(C2CCCC3NNCC32)nn1,"[168489999, 168490000]"
c1cc(CCCN2CCOCC2)c2ccc(OCc3cncc(-n4ccc5cncnc54)c3)cc2n1,[156304116]
c1ncc2ccn(C3CCC(c4ccc(CNCC5CCC5)cc4)C3)c2n1,[163239293]
c1ccc(CNc2cc(N3CCC(CNc4ccc(CN5CCCCC5)nc4)CC3)ncn2)cc1,[156587339]
O=C(NCc1ccc2cc(CNCC3CC4C=CC3O4)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461943, 156461960]"
c1cc(COc2ccc3cccnc3c2)cc(-c2c[nH]c3cncnc23)c1,"[166039017, 166039008]"
O=C(NC1CCOCC1)c1ccccc1OCc1cncc(-n2cc(-c3cc[nH]n3)c3cncnc32)c1,[156304083]
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5cnc(NC6C7CC6C7)nc5c4)O3)c2n1,[166626134]
c1ncc2ccn(C3CCC(c4ccc(CN5CCC6(CCC6)C5)cc4)C3)c2n1,[163239289]
O=C(NCc1ccc2cc(CNC3CCCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156442362, 156461784, 156461963, 156461832, 156461833, 156461831]"
c1ncc2c(-c3cc[nH]n3)cn(C3CCC(COc4ccc5ccc(N6CCC6)nc5c4)O3)c2n1,"[156326965, 156327142, 166629752, 156326957, 156326983]"
O=C(c1ncc2ccc(OCC3CCC(n4cc(-c5cc[nH]n5)c5cncnc54)O3)cc2n1)N1CCC1,[166629369]
O=C(NCc1cc2[nH]c(CNCC3CCC3)cc2cn1)c1cc(=O)n2ccccc2n1,[156461758]
c1cc(NC2CC2)c2ccc(OCC3CCC(n4ccc5cncnc54)O3)cc2n1,[164570054]
O=C(NCc1ccc2cc[nH]c2c1)c1cc(=O)n2ccccc2n1,"[156461783, 156748886, 156461968, 156442188, 156442376, 156461814, 156461622, 156442198, 156461942, 156461671]"
c1cncc(-c2cn(Cc3cn4cc(CNCC5CCC5)ccc4n3)nn2)c1,[163239149]
c1cc(-c2noc(Cc3ccc4cc(CNCC5CCC5)[nH]c4c3)n2)c2cn[nH]c2c1,[156461683]
c1ncc2c(-c3cc[nH]n3)cn(-c3cncc(COc4ccc5ccc(N6CCCCC6)nc5c4)c3)c2n1,[156304050]
C(=CC1CCC(n2ccc3cncnc32)O1)CCCNCC1CCC1,"[171400787, 171400798]"
c1ncc2ccn(C3CCC(COc4ccc5nc[nH]c5c4)O3)c2n1,[166632426]
c1cnc2cc(OCC3CCC(n4cc(C5CCCC5)c5cncnc54)C3)ccc2c1,[156327103]
O=C(NCc1cn2cc(CNCC3CCC3)ccc2n1)c1cccc2cncn12,[163239192]
c1ncc2ccn(-c3cncc(COc4ccc5ccc(NCC6CC6)nc5c4)c3)c2n1,[156304102]
c1cnc2cc(OCC3CCC(n4ccc5cncnc54)C3)ccc2c1,"[166626092, 156327024, 156327133]"
